,SKU,PRODUCT_NAME,PRICE,PRODUCT_CATEGORY,PACK_SIZE,REVIEW_COUNT,REVIEW_DATE,REVIEW_TIME,PRICE_RATING,QUALITY_RATING,VALUE_RATING,REVIEW_CONTENT,URL,DATE_OF_CREATION,LAST_UPDATED_DATE,STATES
0,8904417300338,Green Tea Face Wash With Green Tea & Collagen For Open Pores - 100 ml,399.00,skin,100ml,50.0,2022-09-02,16:25:16,5.0,0.0,0.0,"This is a gentle cleanser that is still effective. I like the ingredient list, and I like that it's cruelty-free and made safe at such a low price. ",https://mamaearth.in/product/green-tea-face-wash-with-green-tea-collagen-for-open-pores-100-ml,2022-08-17,2022-09-01,Odisha
1,8906087775829,Onion Shampoo with Onion and Plant Keratin for Hair Fall Control - 200ml,249.00,hair,200ml,17.0,2022-08-31,09:33:31,5.0,0.0,0.0,My neighbour recommended me this mama's onion shampoo...and m glad she did! My hair feels so soft and smoother after started using it. I didn't have any hairfall issue but this shampoo is good for healthy hair. The mama earth onion shampoo price is also okay. Then Why not!,https://mamaearth.in/product/onion-shampoo-with-onion-and-plant-keratin-for-hair-fall-control-200ml,2022-08-16,2022-09-17,Uttar Pradesh
2,8906087775829,Onion Shampoo with Onion and Plant Keratin for Hair Fall Control - 200ml,249.00,hair,200ml,17.0,2022-08-31,09:33:16,4.0,0.0,0.0,I was facing hair fall problem and I was looking for hair growth shampoo that suites my hair type and I was not getting any option... I then came across Mamaearth onion shampoo.... also mama earth shampoo price was affordable so I ordered it and after using it I clearly saw the results... It suited my hair and with the goodness of onions it helped preventing the hair fall... I am delighted to share my review and suggest everybody to try this product...,https://mamaearth.in/product/onion-shampoo-with-onion-and-plant-keratin-for-hair-fall-control-200ml,2022-08-16,2022-09-17,Madhya Pradesh
3,8906087775829,Onion Shampoo with Onion and Plant Keratin for Hair Fall Control - 200ml,249.00,hair,200ml,17.0,2022-08-31,09:32:55,4.0,0.0,0.0,"If you are also thinking, does Mamaearth onion shampoo regrow hair.....my ans is yes, it helps in regrowing hair...bcz this hair shampoo has the potential of keeping scalp hydrated and healthy....and gives enough nutrients my scalp wants....In such a reasonable mama onion shampoo price...I am never gonna change this shampoo.",https://mamaearth.in/product/onion-shampoo-with-onion-and-plant-keratin-for-hair-fall-control-200ml,2022-08-16,2022-09-17,Maharashtra
4,8904417301106,Green Tea Face Serum With Green Tea & Collagen For Open Pores - 30 ml,699.00,skin,30ml,63.0,2022-08-17,06:05:36,5.0,0.0,0.0,"The product is of reasonable size, especially for the price. I believe it is totally worth it. It is very easy to apply to the skin and absorbs quickly. ",https://mamaearth.in/product/green-tea-face-serum-with-green-tea-collagen-for-open-pores-30-ml,2022-08-11,2022-09-05,Chandigarh
5,8904417301106,Green Tea Face Serum With Green Tea & Collagen For Open Pores - 30 ml,699.00,skin,30ml,63.0,2022-08-17,06:04:45,4.0,0.0,0.0,I'm very pleased with the product's quality; I just wish the price were a little lower on regular days. I purchased it during a sitewide sale so got a decent price. ,https://mamaearth.in/product/green-tea-face-serum-with-green-tea-collagen-for-open-pores-30-ml,2022-08-11,2022-09-05,Uttar Pradesh
6,8904417301106,Green Tea Face Serum With Green Tea & Collagen For Open Pores - 30 ml,699.00,skin,30ml,63.0,2022-08-17,06:01:56,5.0,0.0,0.0,I really like how this product makes my skin feel and smell. Excellent quality and very reasonable pricing. ,https://mamaearth.in/product/green-tea-face-serum-with-green-tea-collagen-for-open-pores-30-ml,2022-08-11,2022-09-05,Arunachal Pradesh
7,8904417301090,Green Tea Night Cream With Green Tea & Collagen For Open Pores - 50 g,699.00,skin,50g,50.0,2022-08-17,05:13:11,4.0,0.0,0.0,I buy this Green Tea night cream on a regular basis. It comes at a reasonable price and is good in quality.,https://mamaearth.in/product/green-tea-night-cream-with-green-tea-collagen-for-open-pores-50-g,2022-08-11,2022-09-05,Uttarakhand
8,8904417301090,Green Tea Night Cream With Green Tea & Collagen For Open Pores - 50 g,699.00,skin,50g,50.0,2022-08-17,05:12:11,4.0,0.0,0.0,"The price of this product is really fair, and I love the product. If you're planning to buy something natural and effective, buy this.
",https://mamaearth.in/product/green-tea-night-cream-with-green-tea-collagen-for-open-pores-50-g,2022-08-11,2022-09-05,Madhya Pradesh
9,8904417301090,Green Tea Night Cream With Green Tea & Collagen For Open Pores - 50 g,699.00,skin,50g,50.0,2022-08-17,04:59:41,5.0,0.0,0.0,Bought this today and I am so excited to try it out. It smells very nice and comes at a good price.,https://mamaearth.in/product/green-tea-night-cream-with-green-tea-collagen-for-open-pores-50-g,2022-08-11,2022-09-05,West Bengal
10,8904417301571,Green Tea Serum Gel with Green Tea & Collagen for Open Pores - 50 ml,599.00,skin,50ml,59.0,2022-08-17,06:43:04,4.0,0.0,0.0,"This is a light gel cream that's as advanced as any moisturizer. My face feels soft, smooth, and hydrated with a matte finish. I bought it during sale so got it at half the price. ",https://mamaearth.in/product/green-tea-serum-gel-with-green-tea-collagen-for-open-pores-50-ml,2022-08-09,2022-08-31,Madhya Pradesh
11,8904417301571,Green Tea Serum Gel with Green Tea & Collagen for Open Pores - 50 ml,599.00,skin,50ml,59.0,2022-08-17,06:39:50,4.0,0.0,0.0,The products is very good and absolutely worth the price. Finally a full container of product FULL to the top of the glass jar. At least you get what you pay for. LOVE MAMAEARTH! ,https://mamaearth.in/product/green-tea-serum-gel-with-green-tea-collagen-for-open-pores-50-ml,2022-08-09,2022-08-31,Uttar Pradesh
