,SKU,PRODUCT_NAME,PRICE,PRODUCT_CATEGORY,PACK_SIZE,REVIEW_COUNT,REVIEW_DATE,REVIEW_TIME,PRICE_RATING,QUALITY_RATING,VALUE_RATING,REVIEW_CONTENT,URL,DATE_OF_CREATION,LAST_UPDATED_DATE,STATES
0,8904417301762,Vitamin C Daily Glow Face Cream With Vitamin C & Turmeric for Skin Illumination - 80 g,249.00,skin,80g,8.0,2022-09-07,13:59:14,5.0,0.0,0.0,Good quality ,https://mamaearth.in/product/vitamin-c-daily-glow-face-cream-with-vitamin-c-turmeric-for-skin-illumination-80-g,2022-08-17,2022-09-04,Gujarat
1,8904417300338,Green Tea Face Wash With Green Tea & Collagen For Open Pores - 100 ml,399.00,skin,100ml,50.0,2022-09-02,16:34:15,5.0,0.0,0.0,I use Mamaearth green tea range and the results have me shocked! The products are of top quality. I am gonna recommend this to all my friends and family! ,https://mamaearth.in/product/green-tea-face-wash-with-green-tea-collagen-for-open-pores-100-ml,2022-08-17,2022-09-01,Haryana
2,8904417300338,Green Tea Face Wash With Green Tea & Collagen For Open Pores - 100 ml,399.00,skin,100ml,50.0,2022-09-02,16:29:18,5.0,0.0,0.0,It's potent and high in quality and quantity. It is the most effective product for your face. It truly nourishes your skin. It is something I will always use. GET YOURS NOW! ,https://mamaearth.in/product/green-tea-face-wash-with-green-tea-collagen-for-open-pores-100-ml,2022-08-17,2022-09-01,National Capital Territory of Delhi
3,8906087775829,Onion Shampoo with Onion and Plant Keratin for Hair Fall Control - 200ml,249.00,hair,200ml,17.0,2022-08-31,09:32:36,5.0,0.0,0.0,"Nice product....Good quality and all the mama earth onion shampoo review present are so positive and I found them all true after using this shampoo for almost 3 months....Keeps them frizz-free and seriously after using this shampoo hairfall is not a problem anymore!
",https://mamaearth.in/product/onion-shampoo-with-onion-and-plant-keratin-for-hair-fall-control-200ml,2022-08-16,2022-09-17,Uttar Pradesh
4,8904417301106,Green Tea Face Serum With Green Tea & Collagen For Open Pores - 30 ml,699.00,skin,30ml,63.0,2022-08-17,06:04:45,4.0,0.0,0.0,I'm very pleased with the product's quality; I just wish the price were a little lower on regular days. I purchased it during a sitewide sale so got a decent price. ,https://mamaearth.in/product/green-tea-face-serum-with-green-tea-collagen-for-open-pores-30-ml,2022-08-11,2022-09-05,Uttar Pradesh
5,8904417301106,Green Tea Face Serum With Green Tea & Collagen For Open Pores - 30 ml,699.00,skin,30ml,63.0,2022-08-17,06:01:56,5.0,0.0,0.0,I really like how this product makes my skin feel and smell. Excellent quality and very reasonable pricing. ,https://mamaearth.in/product/green-tea-face-serum-with-green-tea-collagen-for-open-pores-30-ml,2022-08-11,2022-09-05,Arunachal Pradesh
6,8904417301090,Green Tea Night Cream With Green Tea & Collagen For Open Pores - 50 g,699.00,skin,50g,50.0,2022-08-17,05:22:19,5.0,0.0,0.0,"I used to have itchy and reddish face skin and everything I tried made it really dry. After using green tea night cream my skin quality improved.
",https://mamaearth.in/product/green-tea-night-cream-with-green-tea-collagen-for-open-pores-50-g,2022-08-11,2022-09-05,Tamil Nadu
7,8904417301090,Green Tea Night Cream With Green Tea & Collagen For Open Pores - 50 g,699.00,skin,50g,50.0,2022-08-17,05:13:11,4.0,0.0,0.0,I buy this Green Tea night cream on a regular basis. It comes at a reasonable price and is good in quality.,https://mamaearth.in/product/green-tea-night-cream-with-green-tea-collagen-for-open-pores-50-g,2022-08-11,2022-09-05,Uttarakhand
8,8904417301090,Green Tea Night Cream With Green Tea & Collagen For Open Pores - 50 g,699.00,skin,50g,50.0,2022-08-17,05:00:29,4.0,0.0,0.0,"Got myself the best night cream. I love it. It has improved my skin’s quality. Good product.
",https://mamaearth.in/product/green-tea-night-cream-with-green-tea-collagen-for-open-pores-50-g,2022-08-11,2022-09-05,Karnataka
9,8904417301571,Green Tea Serum Gel with Green Tea & Collagen for Open Pores - 50 ml,599.00,skin,50ml,59.0,2022-08-17,06:37:05,4.0,0.0,0.0,This gel is fantastic. It feels good on my skin and absorbs quickly. It also has a soothing quality to it. My husband & 1 both use this product. ,https://mamaearth.in/product/green-tea-serum-gel-with-green-tea-collagen-for-open-pores-50-ml,2022-08-09,2022-08-31,Andhra Pradesh
